Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u,
"C12, C2, C5",0603,3,10u,
"C21, C22, C24, C3, C9",0603,5,100n,
C23,0603,1,Opt,
D1,D_SMA,1,SS34,
D2,0805,1,Blue LED,
D3,0805,1,Red LED,
D4,0805,1,Green LED,
F1,1812,1,2A,
"H2, H3, H5, H6",MountingHole_2.7mm_M2.5_Pad_Via,4,~,
J1,KF301-3P,1,8V-DC,
J2,PinHeader_1x03_P2.54mm_Vertical,1,UPDI,
J3,KF301-3P,1,RF_unit,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,',
Q1,SOT-25_HandSoldering,1,FMG1,
Q2,SOT-23,1,BC859C,
R1,2512,1,0.1R,
"R10, R4",0603,2,470R,
R11,0603,1,1K,
R12,0603,1,330R,
R13,0805,1,100R,
R2,0603,1,4K7,
R3,0603,1,2K2,
"R5, R8",0603,2,10K,
R6,0603,1,5K1,
R7,0603,1,2K,
R9,0603,1,51K,
SW1,SW_SPST_FSMSM,1,SW_Push,
U1,SOT-89-3,1,L78L05_SOT89,
U2,R05C1TF05S,1,R05C1TF05S-R,
U3,TO-263-5_TabPin3,1,MIC29302,
U5,SOT-23-5,1,INA168,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny412-SS,
